item_id,order_id,product_id,quantity,unit_price,discount_percent,is_return
I00001,O0927,P0108,1,130349.22,25,False
I00002,O0114,P0143,5,76858.71,12,False
I00003,O0676,P0290,5,22887.21,8,False
I00004,O0764,P0034,2,54321.08,14,False
I00005,O0903,P0268,3,14605.99,44,False
I00006,O0695,P0273,5,51467.88,29,False
I00007,O0003,P0219,1,111299.21,26,False
I00008,O0281,P0063,5,61423.5,48,False
I00009,O0045,P0115,1,127932.21,28,False
I00010,O0324,P0003,4,64976.86,36,False
I00011,O0828,P0013,2,27319.35,4,False
I00012,O0940,P0128,2,96333.86,40,False
I00013,O0641,P0050,1,132739.8,37,False
I00014,O0817,P0172,3,117650.04,21,False
I00015,O0853,P0028,3,56179.51,4,False
I00016,O0795,P0225,1,58293.68,5,False
I00017,O0998,P0032,1,7761.5,44,False
I00018,O0067,P0066,1,44801.39,19,False
I00019,O0626,P0222,1,2330.96,3,False
I00020,O0302,P0196,4,105277.09,14,False
I00021,O0886,P0006,4,78339.79,39,False
I00022,O0635,P0052,3,108870.61,1,False
I00023,O0465,P0265,3,22902.28,0,False
I00024,O0610,P0035,5,18093.74,36,False
I00025,O0130,P0261,3,55666.18,39,False
I00026,O0456,P0096,2,29494.61,8,False
I00027,O0320,P0300,4,139769.74,22,False
I00028,O0319,P0299,5,52850.03,19,False
I00029,O0618,P0176,3,70119.59,37,False
I00030,O0674,P0075,1,69116.53,35,False
I00031,O0880,P0028,4,69019.5,40,False
I00032,O0931,P0104,1,100986.46,44,False
I00033,O0709,P0240,5,145619.8,36,False
I00034,O0987,P0172,5,112740.33,6,False
I00035,O0466,P0022,4,23186.14,14,False
I00036,O0710,P0118,4,58862.05,47,False
I00037,O0787,P0170,4,64978.97,0,False
I00038,O0372,P0006,1,73375.94,9,False
I00039,O0298,P0226,2,32029.43,23,False
I00040,O0045,P0016,2,28946.95,16,False
I00041,O0737,P0090,3,70572.46,12,False
I00042,O0023,P0091,3,2688.68,43,False
I00043,O0141,P0195,1,123451.6,29,False
I00044,O0246,P0190,3,26375.83,39,False
I00045,O0903,P0223,1,81169.1,8,False
I00046,O0814,P0098,2,122308.24,20,False
I00047,O0614,P0220,2,62587.59,37,False
I00048,O0194,P0275,3,96208.57,3,False
I00049,O0645,P0144,2,14546.51,31,False
I00050,O0215,P0042,4,47155.47,10,False
I00051,O0521,P0199,5,126065.02,11,False
I00052,O0330,P0192,5,52496.19,31,False
I00053,O0486,P0138,5,143096.6,37,False
I00054,O0666,P0019,2,50105.18,15,False
I00055,O0406,P0112,3,122708.34,10,False
I00056,O0958,P0192,3,44283.07,5,False
I00057,O0303,P0228,5,81783.15,29,False
I00058,O0525,P0173,4,25384.07,23,False
I00059,O0824,P0255,3,20848.78,28,False
I00060,O0240,P0136,1,100349.98,32,False
I00061,O0526,P0280,1,12218.03,6,False
I00062,O0122,P0037,3,19027.74,12,False
I00063,O0692,P0169,3,23546.61,43,False
I00064,O0866,P0141,2,82521.83,48,False
I00065,O0734,P0279,3,31236.78,22,True
I00066,O0802,P0207,4,1737.61,0,False
I00067,O0484,P0263,2,114719.76,46,False
I00068,O0768,P0108,4,122362.74,35,False
I00069,O0776,P0240,4,116657.22,12,False
I00070,O0440,P0214,2,25031.81,1,False
I00071,O0384,P0072,5,40714.07,47,False
I00072,O0010,P0256,3,70578.04,43,False
I00073,O0771,P0207,5,1658.61,36,False
I00074,O0805,P0017,2,140219.03,21,False
I00075,O0582,P0294,4,94535.57,25,False
I00076,O0066,P0274,4,100680.09,36,False
I00077,O0986,P0232,3,43866.43,35,False
I00078,O0182,P0017,5,113047.27,4,False
I00079,O0934,P0198,3,99852.14,33,False
I00080,O0072,P0233,1,43056.77,20,False
I00081,O0881,P0211,4,91992.16,34,False
I00082,O0429,P0245,1,151516.97,13,False
I00083,O0134,P0106,3,79116.91,30,False
I00084,O0163,P0295,3,134923.74,43,False
I00085,O0470,P0142,2,90026.81,4,True
I00086,O0845,P0205,5,130223.98,36,False
I00087,O0901,P0252,4,82936.62,5,False
I00088,O0295,P0234,3,99544.91,19,False
I00089,O0401,P0090,4,84791.47,46,False
I00090,O0443,P0235,4,27979.93,36,False
I00091,O0098,P0202,1,61411.53,17,False
I00092,O0904,P0276,3,22187.28,46,False
I00093,O0740,P0112,4,136689.47,7,False
I00094,O0378,P0040,1,80500.55,26,False
I00095,O0462,P0085,3,118480.15,1,False
I00096,O0075,P0237,4,43719.62,12,False
I00097,O0407,P0020,1,67977.41,8,False
I00098,O0335,P0238,4,24378.03,42,False
I00099,O0249,P0225,2,53410.66,10,False
I00100,O0175,P0010,5,113356.79,34,False
I00101,O0760,P0201,2,283.02,43,False
I00102,O0280,P0079,4,70370.5,2,False
I00103,O0915,P0273,2,44060.8,40,False
I00104,O0831,P0268,1,13138.02,3,False
I00105,O0613,P0003,1,79425.84,15,False
I00106,O0384,P0123,2,128064.0,0,False
I00107,O0346,P0099,1,44674.24,42,False
I00108,O0172,P0086,1,114790.38,20,False
I00109,O0331,P0288,2,68584.77,25,False
I00110,O0962,P0220,1,51657.08,20,False
I00111,O0178,P0008,4,2746.93,13,False
I00112,O0470,P0113,1,117774.0,39,False
I00113,O0378,P0023,1,14269.3,49,False
I00114,O0614,P0256,1,78259.18,36,False
I00115,O0176,P0129,1,2734.44,44,False
I00116,O0398,P0069,3,6771.09,44,False
I00117,O0326,P0247,1,77719.15,37,False
I00118,O0460,P0196,5,90699.27,37,False
I00119,O0722,P0007,2,100602.79,7,True
I00120,O0317,P0122,4,125526.25,3,False
I00121,O0141,P0192,4,44528.06,13,False
I00122,O0658,P0020,2,65942.64,28,False
I00123,O0757,P0169,2,22485.4,48,False
I00124,O0041,P0267,4,108800.51,1,False
I00125,O0235,P0170,3,72224.61,42,False
I00126,O0255,P0114,5,58202.89,11,False
I00127,O0453,P0004,1,53727.19,12,False
I00128,O0054,P0073,2,23963.79,35,False
I00129,O0852,P0105,2,45478.54,29,False
I00130,O0319,P0085,2,123609.08,15,False
I00131,O0311,P0147,5,102000.5,17,False
I00132,O0884,P0247,1,72357.33,24,False
I00133,O0172,P0242,4,8834.35,27,False
I00134,O0779,P0080,4,58685.21,5,True
I00135,O0778,P0154,5,16134.21,11,False
I00136,O0264,P0195,4,126258.42,35,False
I00137,O0621,P0247,1,80009.24,12,False
I00138,O0159,P0098,1,115896.97,46,True
I00139,O0384,P0252,4,107530.38,47,False
I00140,O0383,P0197,4,103584.66,4,False
I00141,O0419,P0020,1,65347.62,12,False
I00142,O0782,P0224,3,79273.83,22,False
I00143,O0522,P0251,3,27397.86,27,False
I00144,O0754,P0127,2,92436.86,23,False
I00145,O0647,P0015,2,101751.17,43,False
I00146,O0151,P0131,2,79040.31,10,False
I00147,O0013,P0060,1,14329.52,25,False
I00148,O0724,P0042,5,50561.73,10,False
I00149,O0850,P0219,3,117249.26,34,False
I00150,O0675,P0196,5,95727.02,46,False
I00151,O0891,P0046,1,135998.65,22,False
I00152,O0834,P0074,3,114866.53,25,False
I00153,O0716,P0158,1,135640.58,0,False
I00154,O0100,P0036,4,104243.02,46,False
I00155,O0442,P0088,2,69990.19,12,False
I00156,O0499,P0094,5,88535.67,13,False
I00157,O0191,P0103,1,134762.65,12,False
I00158,O0266,P0210,4,26201.67,40,False
I00159,O0171,P0041,3,109763.81,4,False
I00160,O0351,P0016,5,31783.58,48,False
I00161,O0104,P0005,1,107056.56,42,False
I00162,O0597,P0022,1,29269.56,24,False
I00163,O0618,P0267,3,114913.96,21,False
I00164,O0619,P0220,3,64701.01,20,False
I00165,O0837,P0123,3,126445.39,3,False
I00166,O0999,P0183,3,55002.1,44,False
I00167,O0412,P0072,1,47653.76,17,False
I00168,O0974,P0128,3,107256.18,30,False
I00169,O0528,P0212,2,137941.19,20,True
I00170,O0018,P0185,1,139359.28,43,False
I00171,O0455,P0120,5,64131.85,50,False
I00172,O0084,P0179,4,102511.53,30,False
I00173,O0675,P0052,4,94633.07,9,False
I00174,O0891,P0267,5,122968.11,2,False
I00175,O0131,P0255,1,25317.68,35,False
I00176,O0896,P0240,2,149515.17,30,False
I00177,O0679,P0277,2,90494.3,42,False
I00178,O0717,P0046,1,133804.7,10,False
I00179,O0952,P0168,4,113607.14,16,False
I00180,O0682,P0244,1,76028.9,40,False
I00181,O0743,P0252,1,90952.14,14,False
I00182,O0955,P0295,5,128789.08,45,False
I00183,O0761,P0196,5,96438.41,14,False
I00184,O0229,P0133,1,68816.31,21,False
I00185,O0759,P0097,1,12312.02,20,False
I00186,O0977,P0195,5,127318.76,37,False
I00187,O0549,P0098,4,109902.76,23,False
I00188,O0817,P0065,5,87307.56,6,False
I00189,O0405,P0005,5,89752.84,18,False
I00190,O0858,P0113,4,113066.85,18,False
I00191,O0150,P0018,5,45406.23,44,False
I00192,O0127,P0141,5,79027.17,31,False
I00193,O0299,P0193,1,16401.74,45,False
I00194,O0216,P0116,1,47757.83,31,False
I00195,O0745,P0201,3,275.18,10,False
I00196,O0023,P0281,4,45029.25,22,False
I00197,O0776,P0201,4,280.25,18,False
I00198,O0714,P0100,5,109571.51,48,False
I00199,O0811,P0298,1,27501.4,29,False
I00200,O0671,P0084,5,64667.39,18,False
I00201,O0919,P0075,2,67835.23,47,False
I00202,O0667,P0005,3,96783.7,43,False
I00203,O0805,P0076,4,73492.34,10,False
I00204,O0949,P0029,1,28904.04,3,False
I00205,O0121,P0264,3,94273.08,40,False
I00206,O0740,P0207,2,1498.57,31,False
I00207,O0310,P0089,4,151325.78,42,False
I00208,O0675,P0046,4,131447.7,17,False
I00209,O0648,P0228,3,71118.95,7,True
I00210,O0501,P0261,2,57130.55,36,True
I00211,O0492,P0141,1,65660.38,30,False
I00212,O0661,P0223,3,64794.44,4,False
I00213,O0731,P0276,2,26774.13,25,False
I00214,O0570,P0275,5,101737.06,37,False
I00215,O0552,P0064,2,26177.86,11,False
I00216,O0883,P0093,1,49114.79,7,False
I00217,O0041,P0066,5,41147.58,35,False
I00218,O0263,P0018,1,45455.11,23,False
I00219,O0990,P0279,2,37350.27,0,False
I00220,O0255,P0154,1,15982.49,50,False
I00221,O0301,P0274,4,113045.67,20,False
I00222,O0536,P0181,5,74404.08,6,False
I00223,O0679,P0023,2,13142.22,13,False
I00224,O0981,P0069,5,6465.21,17,False
I00225,O0132,P0217,1,35251.8,41,False
I00226,O0926,P0084,4,69020.34,43,False
I00227,O0436,P0074,5,106085.02,17,False
I00228,O0649,P0099,3,41975.63,32,False
I00229,O0620,P0084,4,58025.69,50,False
I00230,O0445,P0195,1,124884.47,17,False
I00231,O0128,P0273,1,49251.16,21,False
I00232,O0656,P0046,3,136048.33,9,False
I00233,O0890,P0116,3,42712.92,14,True
I00234,O0388,P0054,1,86515.09,19,False
I00235,O0603,P0251,1,27769.7,18,False
I00236,O0565,P0139,5,63760.95,20,False
